1,5:6,9.2
2,2:6:14,9.5
3,5:6:13,9.4
4,5:6:10,8.8
5,5:6:11,9.5
6,8:6:13,8.6
7,5:6:7,8.6
8,1:6:7,8.9
10,6:13,8.7
11,6:13:5,8.6
12,6:5,8.8
13,6:5:4,8.1
14,6:2:14,8.5
15,6:4,8.7
16,6:1:10,8.4
17,1:2:3,8.6
18,15:4,8.6
9,15:4,8.3
19,11:4,8.4
20,5:6:13,8.8
21,2:6:16,9.1
22,15:4:16,8.6
23,15:4,8.8
24,6:4,8.6
25,6:4,8.4
26,6:4,8.9
27,6:14:10,8.5
28,6:1:10,8.0
29,6:16:10,7.6
30,6:14:10,8.0
40,6:4,8.7
39,6:4:14,8.3
38,6:5,7.5
37,6:5:13,8.7
36,6:1,8.3
35,6:5,8.1
34,6:4,8.8
33,6:5:7,8.8
32,6:4,9.0
31,6:14:11:8,8.0
50,5:6:10,8.6
41,4:6,8.4
42,4:6,8.4
43,5:6:7,7.9
44,4:6,8.8
45,10:6:16,8.7
46,4:6,8.7
47,4:6,7.8
48,8:6:13,8.3
49,4:6,7.4
60,10:6:16,8.5
59,4:11,9.0
58,6,7.7
57,6:11,7.7
56,6:10,8.8
55,6:4,8.4
54,6:5:10,8.2
53,6:5:10,9.3
52,6:1:10,8.4
51,6:1:5,8.6
70,4,8.3
69,1:2:6,8.8
68,2:6,8.8
67,12:6,8.7
66,5:6:10,8.4
65,5:6:4,8.0
64,1:6:14,8.0
63,1:6:14,8.2
62,5:6:10,8.9
61,14:6:8,8.6
80,4,8.6
79,6,8.6
78,6:1:5,8.9
77,4,8.0
76,6,7.7
75,4,7.7
74,4:1:15,8.8
73,4:6,8.7
72,4,8.6
71,4,8.6
81,5:6:10,6.9
82,5:6:10,8.1
83,5:6:10,8.3
84,5:6:1,8.0
85,5:6:4,8.3
86,6,7.2
87,6:4,8.9
88,12:4,8.3
89,14:6:16,7.7
90,4:6:10,7.4
91,4:6:14,7.8
92,5:6:10,6.7
93,5:6:1,6.4
94,5:4:10,8.4
95,5:6:10,7.5
96,11:6:10,7.5
97,6:4,8.4
98,6:5:10,8.2
105,4,8.7
103,4,8.6
102,4,8.9
101,4:6:16,7.9
100,10:6:16,7.6
99,4,8.8
106,6,9.1
108,6:5:10,8.3
107,6:13:10,8.0
109,6:5:10,8.0
111,6:1:2,8.4
116,4,8.2
115,1:4:6,8.2
114,1:10:6,7.4
113,1:10:6,8.4
112,4,7.8
127,4:5:6,8.0
126,1:2:6,6.7
125,14:2:11,8.0
124,1:2:5,8.0
123,6:10:13,8.1
122,6:5:8,8.6
121,6:1:7,8.6
120,2:1:16,7.7
119,2:1:10,8.7
118,2:1:10,8.4
117,4,8.0
144,4:6:1,7.8
143,11:6:12,7.7
142,6:5,7.0
141,6:5:1,8.4
140,4,6.7
139,4:6:11,8.1
138,4,6.8
137,4:6,7.4
136,5:6:1,7.7
135,11:6:8,7.7
134,5:6:10,7.9
133,11:6:10,7.9
132,14:6:8,7.9
131,6:11,8.7
130,6:5:4,8.2
129,6:4,6.7
128,4,8.8
158,6,9.2
157,4,8.5
156,4,8.6
155,4,8.6
145,1:16:13,7.2
146,4,7.0
147,4,7.4
148,6:7:11,8.1
149,10,8.3
150,4:11,6.9
151,10:6:14,7.0
152,6,7.8
153,6:4,8.1
154,6:14:10,6.9
165,2:1:16,6.4
159,5:6:10,7.7
160,5:6:13,7.2
161,6,7.7
162,6:16:13,8.0
163,6:14,8.5
164,6:5:10,7.9
181,6:14:10,8.3
180,6,8.4
179,6:7:2,8.1
178,4,8.5
177,4,8.5
176,6:14:8,8.2
175,6:5:10,9.1
173,6:5:11,9.1
174,6:10,8.3
172,6:1,8.3
171,6:11:16,8.5
170,6:5:10,8.3
169,6:2,8.2
168,6:16:10,7.9
167,6:5:10,8.4
166,6:1:2,8.6
182,3:5:6,9.1
189,1:16:6,8.4
188,5:4:6,8.3
187,5:10:6,8.3
186,5:10:6:15,9.2
185,10:6:16,8.4
183,10:6:2:14,8.4
192,10:6:5,8.4
191,1:6:5,8.3
190,1:6:5,8.9
195,1:6:7,9.0
197,15:2:4,9.0
196,15:2:1,9.0
199,16:6:13,8.8
200,5:6:13,8.8
198,6:4,9.5
