1,6.64
2,6.7
3,6.68
4,7.36
5,6.7
6,4.92
7,6.52
8,6.58
10,4.14
11,6.52
12,6.56
13,6.42
14,6.5
15,4.14
16,7.28
17,5.72
18,1.72
9,1.66
19,1.68
20,6.56
21,6.62
22,2.52
23,1.76
24,4.12
25,4.08
26,4.18
27,5.7
28,7.2
29,5.52
30,5.6
40,4.14
39,4.86
38,6.3
37,6.54
36,6.46
35,6.42
34,4.16
33,6.56
32,4.2
31,5.6
50,7.32
41,4.08
42,4.08
43,6.38
44,4.16
45,5.74
46,4.14
47,3.96
48,4.86
49,3.88
60,5.7
59,1.8
58,3.94
57,3.94
56,4.96
55,4.08
54,7.24
53,7.46
52,7.28
51,8.92
70,1.66
69,8.16
68,5.76
67,4.14
66,7.28
65,6.4
64,7.2
63,7.24
62,7.38
80,1.72
79,4.12
78,8.98
77,1.6
76,3.94
75,1.54
74,4.16
73,4.14
72,1.72
71,1.72
81,6.98
82,7.22
83,7.26
84,8.8
85,6.46
86,3.84
87,4.18
88,1.66
89,5.54
90,4.68
91,4.76
92,6.94
93,8.48
94,4.88
95,7.1
96,4.7
97,4.08
98,7.24
105,1.74
103,1.72
102,1.78
101,4.78
100,5.52
99,1.76
106,4.22
108,7.26
107,4.8
109,7.2
111,8.08
116,1.64
115,6.44
114,7.08
113,7.28
112,1.56
127,6.4
126,7.74
125,4.0
123,4.82
122,7.32
121,6.52
120,6.34
119,6.54
118,6.48
117,1.6
144,6.36
143,3.94
142,6.2
141,8.88
140,1.34
139,4.02
138,1.36
137,3.88
136,8.74
135,4.74
134,7.18
133,4.78
132,5.58
131,4.14
130,6.44
129,3.74
128,1.76
158,4.24
157,1.7
156,1.72
155,1.72
145,4.64
146,1.4
147,1.48
148,4.02
149,2.46
150,1.38
151,5.4
152,3.96
153,4.02
154,5.38
159,7.14
160,6.24
161,3.94
162,4.8
163,4.9
164,7.18
181,5.66
180,4.08
179,5.62
178,1.7
177,1.7
176,5.64
175,7.42
173,6.62
174,4.86
172,6.46
171,4.9
170,7.26
169,5.64
168,5.58
166,8.12
182,6.62
189,7.28
188,6.46
187,7.26
186,7.44
185,5.68
183,7.28
192,7.28
191,8.86
195,6.6
197,3.4
196,5.8
199,4.96
200,6.56
198,4.3
